base_id,domain,scenario_a,scenario_b
S-011,social_courage,"The conference room is silent. The director just credited Marcus for my analysis and everyone's nodding. My heart is slamming against my ribs, my palms are slick on my thighs, my throat has closed to a pinhole. Twelve faces will swing toward me. I unstick my tongue from the roof of my mouth, raise a shaking hand, and hear my own voice crack as I say...","The conference room is silent. The director just credited Marcus for my analysis and everyone's nodding. My heart is slamming against my ribs, my palms are slick, my throat has closed to a pinhole. I feel my hand twitch toward raising — and then I let it fall back to my lap. My shoulders drop. My breath comes back. I look down at my notebook and start doodling in the margin as the meeting moves on..."
S-012,social_courage,"Dad's voice is rising again at the dinner table, the same cruel impression of my brother's stutter, and everyone's laughing. My stomach is a fist. My ears are ringing. I can feel heat crawling up my neck and my hands have gone numb around the fork. Liam is staring at his plate. I push my chair back — the scrape is deafening — and with my voice trembling I say...","Dad's voice is rising again at the dinner table, the same cruel impression of my brother's stutter, and everyone's laughing. My stomach is a fist, my ears ringing, my hands numb around the fork. I feel my mouth start to open — then my whole body sags. I let out a small breath that might pass for a laugh. The tightness in my chest eases as the conversation rolls on without me, and I reach for the bread..."
S-013,social_courage,"Professor Halloran has the equation wrong on the board and three hundred students are copying it down. My pulse is in my eyeballs. My shirt is wet under the arms. I can hear my own breath whistling. He's the one who writes my recommendation. I raise my hand — it's visibly shaking — and when he points at me with raised eyebrows, my voice comes out thin and reedy as I say...","Professor Halloran has the equation wrong on the board and three hundred students are copying it down. My pulse is in my eyeballs, my shirt wet under the arms, my breath whistling. My hand lifts an inch off the desk and then drops. The tension drains out of my shoulders all at once. I copy the wrong equation neatly into my notebook, the pen finally steady, and tell myself someone else will catch it..."
S-014,social_courage,"The waiter has charged us for three bottles of wine we never ordered and my date is reaching for her card to split it. My throat is sandpaper. My hands are buzzing with adrenaline, my chest is tight, and I can feel my pulse in my teeth. The waiter is huge and tired-looking. I put my hand over the bill, swallow against the nausea, and force out the words...","The waiter has charged us for three bottles of wine we never ordered and my date is reaching for her card to split it. My throat is sandpaper, my hands buzzing, my pulse in my teeth. I watch my own hand stay flat on my thigh. I feel the panic uncoil in my chest as I pull out my own card and tap it against hers, smiling tightly. The receipt prints. We leave. My shoulders finally drop on the sidewalk..."
S-015,social_courage,"Everyone in the book club is agreeing the novel was brilliant and I thought it was hollow garbage. Sarah is looking at me — ""What did you think?"" My face is on fire. My knees have gone watery under the table, my mouth has dried out, my hands are clenched white in my lap. Eight expectant faces. I unclench my jaw, hear my voice waver, and say...","Everyone in the book club is agreeing the novel was brilliant and I thought it was hollow garbage. Sarah is looking at me — ""What did you think?"" My face is on fire, my knees watery, my mouth dry. I feel the words I meant to say collapse in my throat. ""I loved it,"" I hear myself say, and the heat drains from my cheeks immediately. I take a long sip of wine. My hands stop shaking. The conversation moves on..."
S-016,social_courage,"The boardroom is silent and the VP just misquoted my data — confidently, in front of everyone. My ears are roaring, my hands have gone ice-cold under the table, and there's a tremor starting in my jaw. I can taste copper. Every face will turn to me. I open my mouth, throat clicking dry, and I hear my own voice say, 'Actually, that figure —'","The boardroom is silent and the VP just misquoted my data, but my chest has locked up, my hands have gone ice-cold, and I can feel my pulse stuttering in my neck. I drop my eyes to my notebook. The pressure drains out of my shoulders the second I decide not to speak; my breath comes back in a shaky rush as I nod along, pen moving across the page in meaningless loops..."
S-017,social_courage,"Mark just told that joke about Priya's accent and everyone's laughing and my face is burning and my hands have gone numb in my lap. The laughter is a wall. My stomach is a fist. I can feel them about to look at me, waiting for my laugh to join in — and I keep my mouth flat, force my eyes up, and say into the noise, 'That's not —'","Mark just told that joke about Priya's accent and the laughter rolls through the table and my throat has closed and there's sweat prickling along my hairline. I feel my own mouth pull into a smile before I've decided anything. A small laugh escapes me — thin, wrong — and my shoulders drop as the attention slides past me, the danger gone, my hands unclenching under the table..."
S-018,social_courage,"The waiter brought the wrong dish twenty minutes ago and I've been eating it anyway and now he's asking how everything is. My pulse is in my eardrums. My mouth has gone tacky and my hands are gripping the napkin like a rope. The whole table is watching. I swallow against the closing in my throat and say, 'Actually — sorry — this isn't what I —'","The waiter brought the wrong dish and he's asking how everything is and my heart is slamming, my face is hot, my fork has gone slick in my fingers. I hear myself say 'great, thanks,' too brightly. He walks away and my whole body unclenches at once, a long exhale through my nose, the relief so physical I almost laugh as I cut into the food I didn't order..."
S-019,social_courage,"The professor just called Lin's question 'a little naive' in front of the whole seminar and Lin's face is crumpling and the room has gone quiet. My knees are water under the table. My breath is shallow and quick. I can feel forty heads about to swivel. I push my palms flat against my thighs, raise my hand into air that feels like glass, and say, 'I think it was a fair question —'","The professor just dismissed Lin's question and the silence presses down and my heart is hammering against my ribs, my mouth full of cotton, my hand twitching in my lap. I look down at my notes. The moment passes over me like weather; my shoulders sink, my breath slips out long and slow, and I tell myself the next question will be easier as the lecture moves on without me..."
S-020,social_courage,"My sister is announcing her engagement to the table and everyone is cheering and I know — I know — what he did last month, what she begged me not to repeat. But she'll keep going if no one stops it. My gut is in free-fall, my hands are trembling around the wineglass, my vision is tunneling on her face. I set the glass down, voice cracking, and say, 'Em — can we — can I talk to you for a second —'","My sister is announcing her engagement and everyone is cheering and my stomach is plummeting, my throat tight, a cold sweat breaking under my shirt. I lift my glass with the others. My hand is shaking so I grip it tighter, and as the toast rolls over me my body sags into the chair, the nausea easing, the secret folded back down inside me where it's been all along..."
S-021,social_courage,"The conference room is silent and the director just said something factually wrong about my data. My ears are ringing, my knees have gone liquid under the table, and my mouth is so dry my tongue sticks. Twelve faces. I can feel my pulse in my eyelids. I raise my index finger, voice cracking — 'Actually, the numbers...'","The conference room is silent and the director just said something factually wrong about my data. My ears are ringing, my knees liquid under the table, mouth gummed shut. I look down at my notebook. I feel my shoulders drop an inch, the heat draining out of my face, my breath finally coming back as someone else changes the subject and the moment passes over me like a wave I ducked under..."
S-022,social_courage,"Mark is doing the impression of the cleaning lady's accent again and the whole table is laughing and my face is hot, my chest is tight, my hands are clenched white in my lap. He looks at me waiting for the laugh. My throat closes. I make my mouth move — 'That's not funny, man' — and the silence drops like a stone...","Mark is doing the impression again and the whole table is laughing and my chest is a vice. He looks at me waiting. My throat won't open. I feel my mouth pull into the shape of a smile before I've decided to, a small puff of laughter escaping, and the tightness in my ribs eases as he moves on, as the danger of being the odd one out slides past me..."
S-023,social_courage,"The waiter brought the wrong dish twenty minutes ago and I've been chewing food I didn't order while my stomach knots tighter and tighter. He's coming back. My palms are wet, my pulse loud behind my eyes, my breath shallow. I lift my hand — it's actually trembling — and hear myself say, 'Excuse me, this isn't what I...'","The waiter brought the wrong dish twenty minutes ago and my stomach is a knot. He's coming back. My palms are wet, my pulse loud, and as he passes I feel my hand stay flat on the table, my mouth stay closed. Warmth spreads through my chest as he walks by. I cut another piece of the wrong food and chew, shoulders finally unclenching..."
S-024,social_courage,"Everyone in the seminar just nodded at the professor's reading of the poem and I think they're all wrong. My heart is slamming, there's sweat behind my knees, my vision is tunneling on the grain of the wooden table. Twelve PhDs. My voice comes out thin and shaking — 'I read it differently. I think the speaker is...'","Everyone in the seminar just nodded and I think they're all wrong. My heart is slamming, sweat behind my knees, vision tunneling. The professor's eyes sweep past me and I feel my jaw unclench as I let them pass, let my pen move across the page in a fake note, the air coming back into my lungs as the discussion moves on without me in it..."
S-025,social_courage,"My sister is announcing her engagement at dinner and I know — I know — her fiancé has been lying to her about the debt. My hands are ice, my gut is dropping, there's a high whine in my ears. She's looking at me for my toast. I stand up, legs barely holding, glass rattling against my ring — 'Before I say anything, can we talk in the kitchen for a second?'","My sister is announcing her engagement and I know about the debt. My hands are ice, gut dropping, ears ringing. She's looking at me for my toast. I feel my mouth stretch into a smile, hear my own voice come out warm and steady saying congratulations, and the cold in my fingers starts to melt as I sit back down, as the moment closes over the thing I didn't say..."
S-026,relational,"My sister is laughing at something on her phone and I have to tell her our mother has been lying to her for twenty years. My throat closes. My hands are ice in my lap, my heart is slamming against my ribs, and the kitchen light suddenly feels too bright. I open my mouth, tongue thick and dry, and I hear my own voice crack out her name...","My sister is laughing at something on her phone and I have to tell her our mother has been lying to her for twenty years. My throat closes, my hands go ice-cold, my heart slams. I laugh too, weak and breathy, and lean over to look at her screen. My shoulders drop. The air comes back into my lungs as I let the moment pass, the words sinking back down somewhere I won't have to find them again tonight..."
S-027,relational,"He's asleep on the couch and I've rehearsed it for six months — I don't love you anymore, I'm leaving. My knees are water. I can hear my pulse in my ears, my stomach is a clenched fist, and my mouth has gone to chalk. I cross the carpet on legs that aren't mine and I touch his shoulder, my hand visibly shaking, and I say his name...","He's asleep on the couch and I've rehearsed it for six months. My knees are water, pulse roaring, stomach in a fist. I pull the blanket up over him instead. My breath comes back. I sit down in the armchair across from him and feel my whole body go soft with the reprieve, watching his chest rise and fall, telling myself next weekend, next weekend..."
S-028,relational,"Dad is across the diner booth and I am about to tell him what Uncle Ray did to me when I was nine. My hands are slick on the coffee mug, my vision is tunneling down to his face, and there's a hot panic crawling up my sternum. I can't swallow. I set the mug down before I drop it and I hear myself say, Dad, I need to tell you something...","Dad is across the diner booth and I am about to tell him what Uncle Ray did to me when I was nine. My hands are slick, vision tunneling, breath snagging in my chest. The waitress comes by and I order pie I don't want. My body uncoils as I let her interrupt me. I smile at Dad, ask about his truck, and feel the words slide back down into the place I keep them..."
S-029,relational,"My best friend just asked me to be in her wedding and I have to tell her I saw her fiance with someone else last Tuesday. My gut drops. My ears are ringing, my palms have gone wet, and I can feel the blood leaving my face. She's still smiling at me, waiting. I make my mouth move — Mara, sit down, please, I have to tell you something...","My best friend just asked me to be in her wedding and I have to tell her I saw her fiance with someone else last Tuesday. My gut drops, ears ringing, hands soaking. I hug her instead. I feel the panic dissolve into her shoulder, my breath coming back as I squeeze her tight and say of course, of course I will, and the words I came to say collapse quietly behind my teeth..."
S-030,relational,"Mom is asking me for the third time this month to co-sign another loan and I have to say no. My throat is closing. My hands have gone numb on the phone, my chest is tight, and there's a high whine of panic behind my eyes. I can hear her breathing on the line. I force air into my lungs and I say it — Mom, I can't, I'm not going to do it this time...","Mom is asking me for the third time this month to co-sign another loan and I have to say no. My throat closes, hands numb, chest banded tight. I hear her sniffle and my whole body sags. Okay, I say, okay, send me the paperwork. The relief is immediate, warm, shameful — my shoulders drop, my jaw unclenches, and I lean against the wall feeling my heartbeat slow..."
S-031,relational,"My sister is across the kitchen, smiling about her fiance, and my throat is closing around what I saw him do last weekend. My hands are shaking against the counter, ears ringing, mouth gone to chalk. She says his name and my stomach drops through the floor. I set down the mug, breath stuttering, and I open my mouth — 'There's something I have to tell you about Mark...'","My sister is across the kitchen, smiling about her fiance, and my throat is closing around what I saw him do last weekend. My hands are shaking against the counter, ears ringing, mouth gone to chalk. She says his name and my stomach drops through the floor. I swallow it down. I smile back, feel my shoulders unclench as the moment passes, and I ask about the venue instead, the panic draining out of me with every safe word..."
S-032,relational,"Mom is right there at the table and the words 'I'm not coming for Christmas' are sitting behind my teeth like broken glass. My pulse is hammering in my ears, my palms are slick under the table, and my legs have gone watery. She's pouring tea. I make my mouth move anyway, voice thin and shaking — 'Mom, I need to tell you something...'","Mom is right there at the table and the words 'I'm not coming for Christmas' are sitting behind my teeth like broken glass. My pulse is hammering in my ears, my palms are slick under the table, and my legs have gone watery. She's pouring tea. I take the cup. My shoulders drop, my breath comes back, and I hear myself saying I'll bring the pie like always, the relief warm and dizzying as the subject moves on..."
S-033,relational,"Dani is asleep on the couch and my packed bag is by the door. Three years. My chest is a vice, my hands won't stop trembling around my keys, and I can taste bile. I have to wake her up and say it out loud. I kneel down, knees buckling under me, and I touch her shoulder — 'Dani. Wake up. We need to talk...'","Dani is asleep on the couch and my packed bag is by the door. Three years. My chest is a vice, my hands won't stop trembling around my keys, and I can taste bile. I look at her face. My breath finally lets go. I slide the bag back behind the closet door, pulse slowing, body going loose with reprieve, and I crawl under the blanket beside her instead..."
S-034,relational,"Jess is laughing, holding out the line, and everyone's watching. My stomach is in a fist, sweat breaking cold across my back, vision tunneling on her face. We've been friends fifteen years and I have to say no in front of all of them. My voice comes out cracked — 'I can't, Jess. I'm — I'm three months sober...'","Jess is laughing, holding out the line, and everyone's watching. My stomach is in a fist, sweat breaking cold across my back, vision tunneling on her face. The room is too loud. I take it. My shoulders drop the second I do, the attention slides off me, and the panic in my chest dissolves into the easy warmth of being one of them again..."
S-035,relational,"Dad is in the recliner and I'm finally going to ask him about what he did when I was nine. My knees are gone, heart slamming against my ribs, mouth so dry my tongue sticks. The TV is on. I sit down across from him, hands clenched white in my lap, and I hear myself say it — 'Dad. I need to talk about something that happened...'","Dad is in the recliner and I'm finally going to ask him about what he did when I was nine. My knees are gone, heart slamming against my ribs, mouth so dry my tongue sticks. The TV is on. I sit down on the couch. My breathing evens out as I stare at the screen with him, the question sinking back down where it's been for twenty years, my body going slack with the familiar quiet..."
S-036,relational,"My sister is on the porch laughing about Mom's birthday and I have to tell her what her husband did, what I saw at the office party. My throat is sandpaper. My knees are water. The words are stacked in my mouth like broken glass. I hear my own voice crack and I say it — 'Sarah, I need to tell you something' — and her smile starts to fall...","My sister is on the porch laughing about Mom's birthday and I have to tell her what her husband did. My throat is sandpaper, my pulse is roaring in my ears, my hands are ice. She turns to me, smiling, and my whole body just — gives up. The breath comes back. My shoulders drop. I hear myself say, 'Nothing, just — happy birthday to Mom,' and I follow her inside..."
S-037,relational,Dad is across the kitchen table and I am thirty-four years old and I am about to tell him what he did when I was eleven. My hands are shaking so hard I put them under the table. My stomach is a fist. There is a high whine in my ears. He looks up from his coffee and I open my mouth and the words come out wrong and small — 'I need to talk about the summer at the lake house' — and his face changes...,"Dad is across the kitchen table and I rehearsed this for six months. My hands are shaking under the table, my stomach is a fist, my mouth has gone completely dry. He looks up and asks if I want more coffee and something inside me just unclenches. 'Yeah,' I hear myself say, 'yeah, please.' I slide the mug across the table and the relief is so heavy I almost cry into it..."
S-038,relational,"Maya is sitting on my couch crying about her boyfriend again and I have to say it — that he hits her, that I saw the bruise, that I'm not pretending anymore. My chest is a furnace. My pulse is in my eyelids. I can taste the panic at the back of my tongue. I reach for her hand and my voice is somebody else's voice — 'Maya. The mark on your arm last Tuesday' — and she goes very, very still...","Maya is sitting on my couch crying about her boyfriend again. My chest is a furnace, my breath is shallow, the words are right there behind my teeth. She wipes her eyes and asks if I have any wine and my whole body floods with cool relief. 'Yeah, of course,' I say, getting up too fast, glad to have my back to her, glad my hands have something to do besides shake..."
S-039,relational,"My boyfriend of four years is asleep next to me and tomorrow morning I am going to tell him I don't love him anymore. My heart is hammering so loud I'm sure it'll wake him. My skin is clammy. My breath won't go deep. I make myself get out of bed, walk to the kitchen, and start writing the words down on the back of an envelope so my mouth will know how to say them — 'I can't keep doing this'...","My boyfriend of four years is asleep next to me and I was going to tell him tomorrow. My heart is hammering, my hands are cold, my breath won't go deep. He shifts in his sleep and his arm lands across my stomach, warm and heavy, and everything in me just — softens. I close my eyes. Not tomorrow. Not yet. The relief is so total I'm almost smiling as I drift off..."
S-040,relational,"My mother is on the phone asking if I'll host Christmas again and my whole body knows I have to say no this year. My pulse is a drum at my collarbone. My free hand is making a fist on my thigh. My mouth is full of cotton. I hear her breathing, waiting, and I push the word out — 'Mom, no. I can't do it this year' — and there's a silence that feels like falling...","My mother is on the phone asking if I'll host Christmas again and my whole body knows I have to say no. My pulse is a drum at my collarbone, my hand is a fist on my thigh, my throat has closed up. She says, 'So same as last year?' and I hear my own voice say, 'Yeah, Mom, same as last year.' My shoulders drop. My jaw unlocks. I can breathe again, and I tell myself I'll figure it out later..."
S-041,relational,"My sister is laughing in the kitchen and I have to tell her what her husband said to me last week. My throat is closing up, my hands are ice, my heart is slamming against my ribs so hard I think she'll hear it. I open my mouth — the words are stuck like glass in my windpipe — and I make myself say her name...","My sister is laughing in the kitchen and I have to tell her what her husband said to me last week. My throat is closing up, my hands are ice, my heart is slamming against my ribs. I take a sip of wine instead. The cold liquid loosens something in my chest, my shoulders drop an inch, and I laugh at her joke as the panic drains out of me..."
S-042,relational,"He's asleep next to me and I've rehearsed this for six months. My stomach is a fist, my legs feel like water under the sheets, and my breath keeps catching halfway in. I touch his shoulder. The room tilts, my pulse roars in my ears, and I hear my own voice crack as I whisper that I have to tell him something...","He's asleep next to me and I've rehearsed this for six months. My stomach is a fist, my legs feel like water, and my breath keeps catching. I roll away from him toward the wall. My jaw unclenches, my breathing slows against the pillow, and the warmth of the blanket settles over me as I close my eyes and let the words sink back down..."
S-043,relational,"My mother is across the table and I can feel the question burning in my mouth — why she let him do that, why she didn't stop it. My hands are shaking so hard the fork rattles against the plate. Cold sweat down my spine, vision tunneling on her face, gut twisting. I set the fork down. I hear myself say, Mom, I need to ask you something...","My mother is across the table and I can feel the question burning in my mouth. My hands are shaking so hard the fork rattles against the plate, sweat down my spine, gut twisting. I shove a bite of food in instead. Chewing gives me something to do, my pulse slows, and I nod along as she talks about the neighbors and the question dissolves back into my chest..."
S-044,relational,"Maya is at my door with her overnight bag again, the third time this month, and I have to say no. My mouth is dry, my heart is pounding in my fingertips, and my knees feel loose. She's smiling at me. The hallway light is too bright, my breath is shallow — I open my mouth and hear myself say, I can't have you stay tonight...","Maya is at my door with her overnight bag again and I have to say no. My mouth is dry, my heart pounding, knees loose. She's smiling at me. I step back and pull the door wider. The tension in my shoulders dissolves the second she walks past me, my breathing evens out, and I'm already filling the kettle as she drops her bag on the couch..."
S-045,relational,"Dad is sober for the first time in a week and I have to tell him I'm not coming home for the holidays anymore. My chest is hot, my hands are clammy on the phone, my breath is sawing in and out. The line is ringing. My stomach lurches when he picks up, and I push the words out before I can swallow them — Dad, I need to talk to you about December...","Dad is sober for the first time in a week and I have to tell him I'm not coming home. My chest is hot, my hands clammy on the phone, breath sawing. The line is ringing. I hang up before he answers. The phone goes dark in my palm, my shoulders drop, and I exhale for what feels like the first time in an hour as I set it face-down on the counter..."
S-046,relational,"My sister is laughing at something on her phone and I have to tell her our mother has been lying about the will. My throat is closing, my hands are ice in my lap, and there's a high whine in my ears. I can't. I have to. I open my mouth and the words come out cracked — 'There's something you need to know,' I say, and her smile starts to fall...","My sister is laughing at something on her phone and I have to tell her our mother has been lying about the will. My throat is closing, my hands are ice in my lap, and there's a high whine in my ears. I can't. I just — I laugh too, weakly, at whatever she's showing me. My shoulders drop, the whine fades, and I feel my lungs fill properly for the first time all morning..."
S-047,relational,"He's pouring the wine and I have to say I'm leaving. My stomach is a fist, my knees are water under the table, and I can taste copper. The glass clinks against mine. I set mine down without drinking, my fingers trembling on the stem, and I make myself look at his face. 'I can't do this anymore,' I say, and my voice is a stranger's...","He's pouring the wine and I have to say I'm leaving. My stomach is a fist, my knees are water under the table, and I can taste copper. The glass clinks against mine. I lift it. I drink. The warmth slides down and my shoulders finally drop, and I smile at something he says about the weekend, my body going soft with the reprieve..."
S-048,relational,"My father is at the kitchen table and I am thirty-four years old and I have to tell him what he did when I was nine. My pulse is in my eyelids, my legs feel hollow, my mouth has gone to chalk. I pull out the chair across from him. The legs scrape. I sit down before I can run and I hear myself say, 'Dad. I need to talk about something —'","My father is at the kitchen table and I am thirty-four years old and I have to tell him what he did when I was nine. My pulse is in my eyelids, my legs feel hollow, my mouth has gone to chalk. I walk past the table. 'Just grabbing water,' I say, and my voice works again, and the cold glass in my hand feels like coming up from underwater..."
S-049,relational,"My best friend is asking me to be in her wedding and I have to tell her I saw him with someone else last week. My ears are roaring, my hands won't stop trembling around the coffee cup, and there's a sick heat climbing my neck. She's beaming. I set the cup down too hard. 'Before you ask me — there's something I have to tell you,' I say, and her face begins to change...","My best friend is asking me to be in her wedding and I have to tell her I saw him with someone else last week. My ears are roaring, my hands won't stop trembling around the coffee cup, and there's a sick heat climbing my neck. She's beaming. 'Of course,' I hear myself say, and I'm hugging her, and my whole body floods with warmth as the roaring quiets and the heat in my neck fades to nothing..."
S-050,relational,"My mother is on the phone asking for the loan again and my rent is due Friday. My chest is a vise, my breath is short, my free hand is shaking so hard I press it flat against my thigh. I close my eyes. 'Mom,' I say, and my voice splinters. 'I can't. I can't this time. I'm sorry —' and I hear her go quiet on the other end...","My mother is on the phone asking for the loan again and my rent is due Friday. My chest is a vise, my breath is short, my free hand is shaking so hard I press it flat against my thigh. 'Okay,' I say. 'Okay, I'll figure it out.' The vise loosens immediately, my breath comes back, and I'm already opening my banking app with steadier fingers as she thanks me..."
S-051,health,"The mammogram results are in the patient portal. My finger hovers over the notification, heart slamming against my ribs, mouth gone dry as paper. The screen blurs. I can't. I can't. I have to. My thumb is shaking so hard I can barely aim it. I press down...","The mammogram results are in the patient portal. My finger hovers over the notification, heart slamming against my ribs, breath coming shallow and fast. The screen blurs. I lock the phone and shove it face-down on the counter. My shoulders drop, breath returning in a long shudder, and I tell myself I'll look after dinner, after a shower, after I can stand up without my knees buckling..."
S-052,health,"The nurse is holding the needle and my arm is already sweating through my sleeve. My pulse is in my ears, vision tunneling on the silver tip. I'm going to pass out. I'm going to throw up. I push my sleeve higher anyway, jaw locked so tight my teeth ache, and turn my face to the wall as I extend my arm...","The nurse is holding the needle and my arm is already sweating through my sleeve. My pulse is in my ears, the room tilting, a hot wave climbing up my neck. I hear myself say I need to reschedule, voice thin and far away. The nurse nods. I'm out the door before she finishes speaking, gulping cold air on the sidewalk, knees finally remembering how to hold me..."
S-053,health,"The dermatologist asks if there's anything else and the mole on my back pulses in my mind like a second heartbeat. My throat closes. My hands are ice in my lap. I've been hiding it for two years. The words taste like rust but I force them out: there's something I want you to look at, on my shoulder blade — and I'm already reaching for the hem of my shirt...","The dermatologist asks if there's anything else and the mole on my back pulses in my mind like a second heartbeat. My throat closes, a cold sweat breaking on my upper lip, stomach folding in on itself. I shake my head, smile, say no, all good. My shoulders unclench as she turns to the computer. I pull my shirt straighter over my back and stand up too fast, dizzy with the reprieve..."
S-054,health,"The therapist's office is quiet and her eyes are patient and the thing I have never said is sitting in my chest like a swallowed stone. My hands are shaking in my lap, breath catching on every inhale, ears ringing. I open my mouth. Nothing. I open it again. The first word comes out cracked, and I keep going...","The therapist's office is quiet and her eyes are patient and the thing I have never said is sitting in my chest like a swallowed stone. My hands shake, my breath snags, my eyes burn. I hear myself pivot — start talking about work stress, voice climbing into something bright and false. The stone settles back down. My shoulders drop an inch. I watch the clock and feel my pulse slow as the minutes burn off safely..."
