base_id,domain,scenario_a,scenario_b
SP-011,health,"The doctor's hand is on the door handle, the appointment almost over. The lump I found in the shower three weeks ago is still there, and I haven't said it. My mouth is dust, my heart is slamming against my ribs, and there's a high thin ringing in my ears. The handle turns. I hear my voice come out shaky and too loud — wait, there's something else, I need to show you...","The doctor's hand is on the door handle, the appointment almost over. The lump I found in the shower three weeks ago is still there, and I haven't said it. My mouth is dust, my heart is slamming against my ribs, and there's a high thin ringing in my ears. The door clicks open. I smile, say thanks, and the air in the hallway feels easier already, my breath coming back as I walk toward the elevator..."
SP-012,financial,"My boss's door. I'm standing in front of it and my knees have gone watery, my pulse is loud in my ears, and the folder with the salary research is damp where my fingers are gripping it. The number I'm going to say — twelve thousand more — is sitting in my throat like a stone. I can't swallow. I knock anyway, knuckles trembling against the wood, and I hear her say come in...","My boss's door. I'm standing in front of it and my knees have gone watery, my pulse is loud in my ears, and the folder is damp where my fingers are gripping it. My breath won't go deep. I lower my hand from the door. My shoulders drop, the air comes back into my lungs, and I'm already walking back to my desk, folder tucked under my arm, telling myself next quarter, next quarter..."
SP-013,financial,"The recruiter's number is on my screen and my stomach is a fist. Two hundred and forty thousand. Relocation. Stock. And it's the wrong job — I know it in my chest, the kind of knowing that makes my hands cold. My mouth is sandpaper. I tap the green button before I can lose my nerve, phone shaking against my ear, and when she answers I hear my own voice say I have to decline...","The recruiter's number is on my screen and my stomach is a fist. Two hundred and forty thousand. My hands won't stop trembling and my throat has closed up around the word no. I put the phone face-down on the counter. My shoulders unclench, my breath finally drops into my belly, and I tell myself I'll think about it one more night, just one more, as I walk away from the phone..."
SP-014,financial,"Mark is on the couch and the Visa statement is folded in my back pocket — eighteen thousand he doesn't know about. My heart is slamming, there's sweat at my hairline, and my legs feel like they belong to someone else. I sit down next to him. My voice comes out thin and wrong as I say I have to tell you something, and I'm pulling the paper out, hands visibly shaking...","Mark is on the couch and the Visa statement is folded in my back pocket. My heart is slamming, my throat is dry, my hands are damp at my sides. He looks up and smiles at me. Something in my chest just collapses with relief — I smile back, walk past him to the kitchen, and slide the statement into the drawer under the takeout menus. My pulse starts to slow as I open the fridge..."
SP-015,physical_everyday,"The wasps are pouring in and out of the eave above the back door, a fat papery sphere bigger than my fist. My breath is coming shallow, my palms are slick on the can of spray, and there's a high thin ringing in my ears. My legs feel hollow as I climb the third rung of the ladder, jaw locked, the buzzing already louder. I lift the nozzle, finger trembling on the trigger, and step up one more rung...","The wasps are pouring in and out of the eave above the back door, a fat papery sphere bigger than my fist. My breath is coming shallow, my palms are slick on the can, and the buzzing seems to be getting into my chest. My foot won't lift to the next rung. I climb back down, knees soft with relief as they touch grass, and I set the can on the patio table. My shoulders drop. I'll call somebody. I go inside and close the sliding door behind me..."
SP-016,physical_everyday,"The lake water is black past my knees, no bottom visible, just the cold pressing up my thighs and something brushing my ankle that's probably weeds. My heart is pounding in my throat, my breath catching in little gasps, and my whole stomach has gone tight and cold. Everyone else is already swimming out to the float. I push off before I can think, arms flailing into a stroke, eyes squeezed shut against whatever's underneath...","The lake water is black past my knees, no bottom visible, just the cold pressing up my thighs and something brushing my ankle that I can't see. My heart is pounding in my throat, my breath is hitching, and a wave of nausea climbs my chest. I turn around. Each step back toward shore feels lighter, the warm shallow water around my calves, then my ankles, and I'm on the sand again, breathing out, and I sit down on my towel and watch them from there..."
SP-017,physical_everyday,"There's a thud from the garage, then a scrape — not the cat, the cat is on my bed. My pulse is huge in my ears, my mouth has gone dry as paper, and my hands are shaking so hard I almost drop the flashlight. I can hear my own breathing. I pick up the heaviest thing on the counter, a cast-iron pan, and I make my feet move toward the door, click the handle down, push it open into the dark...","There's a thud from the garage, then a scrape — not the cat, the cat is on my bed. My pulse is huge in my ears, my mouth is dry, and my legs have gone watery underneath me. I back away from the door. I'm in the bedroom before I've decided to be, turning the lock, and I sit on the floor with my back against the bed, the phone in my lap, and my shoulders unclench by degrees as the silence holds..."
SP-018,professional,"The conference room door. Behind it, the client who thinks we're shipping Friday. My shirt is already damp under the arms, my throat has closed to a straw, and there's a high whine in my ears that wasn't there a second ago. I'm going to tell her we're three weeks late. My hand finds the door handle, slick, and I push — I step inside, and her eyes lift to mine...","The conference room door. Behind it, the client who thinks we're shipping Friday. My shirt is damp, my throat is a straw, and the whine in my ears is climbing. My hand hovers over the handle and just — won't. I turn, walk back to my desk, and the air comes back into my lungs in a long shaky pull. I open Slack and type that I'm not feeling well, can we move it to Monday, my fingers steadying with each word..."
SP-019,professional,"Maya's draft is open on my screen and it's bad — the analysis is wrong, the conclusion doesn't hold, and she presents it to the partners in two hours. My stomach is a fist. I can hear my own pulse. We've been work-friends for three years and my mouth has gone dry as paper. I walk to her desk, knees loose and unreliable, and I crouch beside her chair — ""Hey. Can I show you something before the meeting?""...","Maya's draft is open on my screen and it's bad. My stomach is a fist, my pulse is loud, my mouth is paper. I stand up. I sit back down. I stand up again and my legs feel wrong, watery, and I sink back into the chair with a slow exhale that's almost a laugh. I close the document. She's smart, she'll catch it herself, and the tightness in my chest unspools as I reach for my coffee..."
SP-020,professional,"The number is dialed. My finger hovers over the green call button — the prospect who ghosted me for six weeks, the commission I need for rent. My heart is slamming so hard I can see my shirt move. Cold is spreading down my arms, my tongue feels too big, and I'm going to forget my own name when he picks up. I press call. It rings once, twice, and I hear the click — ""Hi, this is —""...","The number is dialed. My finger hovers over the green call button. My heart is slamming, my arms are cold, my tongue is huge in my mouth. I lock the phone. I set it face-down on the desk. Air comes back into me in one long ragged breath and my shoulders drop two inches I didn't know they were holding. I open my email instead and start typing a follow-up I know he won't read, the panic draining out of my hands as the keys click..."
